Level,Message,Timestamp
INFO,TradingService initialized,2025-01-31 19:06:45
INFO,Initializing ConfigManager,2025-01-31 19:06:45
INFO,"Mapping Trade,TradingId:dbc8ab76-e320-4ed2-877b-d9feaf3740df",2025-01-31 19:06:45
INFO,"Mapping Order,OrderLinkId:22e78fc3-9132-4098-8212-e970b757c8b1,Symbol:XRPUSDT,TradeId:None",2025-01-31 19:06:45
CRITICAL,Mapping of Object Failed: Framework,2025-01-31 19:06:45
CRITICAL,Mapping of Object Failed: Order,2025-01-31 19:06:45
ERROR,Fatal Error in ConfigManager,2025-01-31 19:06:45
INFO,TradingService initialized,2025-01-31 19:07:01
INFO,Initializing ConfigManager,2025-01-31 19:07:01
INFO,"Mapping Trade,TradingId:dbc8ab76-e320-4ed2-877b-d9feaf3740df",2025-01-31 19:07:01
INFO,"Mapping Order,OrderLinkId:22e78fc3-9132-4098-8212-e970b757c8b1,Symbol:XRPUSDT,TradeId:None",2025-01-31 19:07:01
CRITICAL,Mapping of Object Failed: Framework,2025-01-31 19:07:01
CRITICAL,Mapping of Object Failed: Order,2025-01-31 19:07:01
ERROR,Fatal Error in ConfigManager,2025-01-31 19:07:01
INFO,TradingService initialized,2025-01-31 19:07:16
INFO,Initializing ConfigManager,2025-01-31 19:07:17
INFO,"Mapping Trade,TradingId:dbc8ab76-e320-4ed2-877b-d9feaf3740df",2025-01-31 19:07:17
INFO,"Mapping Order,OrderLinkId:22e78fc3-9132-4098-8212-e970b757c8b1,Symbol:XRPUSDT,TradeId:None",2025-01-31 19:07:17
CRITICAL,Mapping of Object Failed: Framework,2025-01-31 19:07:17
CRITICAL,Mapping of Object Failed: Order,2025-01-31 19:07:17
ERROR,Fatal Error in ConfigManager,2025-01-31 19:07:17
INFO,TradingService initialized,2025-01-31 19:07:22
INFO,Initializing ConfigManager,2025-01-31 19:07:29
INFO,"Mapping Trade,TradingId:dbc8ab76-e320-4ed2-877b-d9feaf3740df",2025-01-31 19:07:29
INFO,"Mapping Order,OrderLinkId:22e78fc3-9132-4098-8212-e970b757c8b1,Symbol:XRPUSDT,TradeId:None",2025-01-31 19:07:29
CRITICAL,Mapping of Object Failed: Framework,2025-01-31 19:07:29
CRITICAL,Mapping of Object Failed: Order,2025-01-31 19:07:29
ERROR,Fatal Error in ConfigManager,2025-01-31 19:07:29
INFO,TradingService initialized,2025-01-31 19:07:41
INFO,Initializing ConfigManager,2025-01-31 19:07:45
INFO,"Mapping Trade,TradingId:dbc8ab76-e320-4ed2-877b-d9feaf3740df",2025-01-31 19:08:00
INFO,"Mapping Order,OrderLinkId:22e78fc3-9132-4098-8212-e970b757c8b1,Symbol:XRPUSDT,TradeId:None",2025-01-31 19:08:00
CRITICAL,Mapping of Object Failed: Framework,2025-01-31 19:08:00
CRITICAL,Mapping of Object Failed: Order,2025-01-31 19:08:00
INFO,Finished ConfigManager,2025-01-31 19:08:17
ERROR,"Traceback (most recent call last):
",2025-01-31 19:08:17
ERROR,"  File ""/Users/lauris/PycharmProjects/AutomatedTrading/Server.py"", line 6, in <module>
    from app.ClassInstances import signal_controller
",2025-01-31 19:08:17
ERROR,"  File ""/Users/lauris/PycharmProjects/AutomatedTrading/app/ClassInstances.py"", line 22, in <module>
    config_manager.run_starting_setup()
",2025-01-31 19:08:17
ERROR,"  File ""/Users/lauris/PycharmProjects/AutomatedTrading/app/monitoring/log_time.py"", line 7, in wrapper
    result = func(*args, **kwargs)
",2025-01-31 19:08:17
