Level,Message,Timestamp
ERROR,"Traceback (most recent call last):
",2025-01-31 21:39:03
ERROR,"  File ""/private/var/folders/zn/g46xcqdd7ls3hf5jkxzzf4n00000gn/T/AppTranslocation/ECA7A1AE-C7CF-46AC-81A6-F8F899ADCF65/d/PyCharm.app/Contents/plugins/python-ce/helpers/pydev/pydevd.py"", line 1570, in _exec
",2025-01-31 21:39:03
ERROR,"pydev_imports.execfile(file, globals, locals)  # execute the script",2025-01-31 21:39:03
ERROR,"  File ""/private/var/folders/zn/g46xcqdd7ls3hf5jkxzzf4n00000gn/T/AppTranslocation/ECA7A1AE-C7CF-46AC-81A6-F8F899ADCF65/d/PyCharm.app/Contents/plugins/python-ce/helpers/pydev/_pydev_imps/_pydev_execfile.py"", line 18, in execfile
",2025-01-31 21:39:03
ERROR,"exec(compile(contents+""\n"", file, 'exec'), glob, loc)",2025-01-31 21:39:03
ERROR,"  File ""/Users/lauris/PycharmProjects/AutomatedTrading/tools/EconomicScrapper/EconomicScrapper.py"", line 197, in <module>
",2025-01-31 21:39:03
ERROR,ec.return_calendar(),2025-01-31 21:39:03
ERROR,TypeError,2025-01-31 21:39:03
ERROR,: ,2025-01-31 21:39:03
ERROR,return_calendar() missing 1 required positional argument: 'self',2025-01-31 21:39:03
ERROR,"Traceback (most recent call last):
",2025-01-31 21:40:17
ERROR,"  File ""/Users/lauris/PycharmProjects/AutomatedTrading/tools/EconomicScrapper/EconomicScrapper.py"", line 197, in <module>
",2025-01-31 21:40:17
ERROR,ec0.return_calendar(),2025-01-31 21:40:17
ERROR,TypeError,2025-01-31 21:40:17
ERROR,: ,2025-01-31 21:40:17
ERROR,return_calendar() missing 1 required positional argument: 'self',2025-01-31 21:40:17
ERROR,"Traceback (most recent call last):
",2025-01-31 21:40:22
ERROR,"  File ""/private/var/folders/zn/g46xcqdd7ls3hf5jkxzzf4n00000gn/T/AppTranslocation/ECA7A1AE-C7CF-46AC-81A6-F8F899ADCF65/d/PyCharm.app/Contents/plugins/python-ce/helpers/pydev/pydevd.py"", line 1570, in _exec
",2025-01-31 21:40:22
ERROR,"pydev_imports.execfile(file, globals, locals)  # execute the script",2025-01-31 21:40:22
ERROR,"  File ""/private/var/folders/zn/g46xcqdd7ls3hf5jkxzzf4n00000gn/T/AppTranslocation/ECA7A1AE-C7CF-46AC-81A6-F8F899ADCF65/d/PyCharm.app/Contents/plugins/python-ce/helpers/pydev/_pydev_imps/_pydev_execfile.py"", line 18, in execfile
",2025-01-31 21:40:22
ERROR,"exec(compile(contents+""\n"", file, 'exec'), glob, loc)",2025-01-31 21:40:22
ERROR,"  File ""/Users/lauris/PycharmProjects/AutomatedTrading/tools/EconomicScrapper/EconomicScrapper.py"", line 197, in <module>
",2025-01-31 21:40:22
ERROR,ec0.return_calendar(),2025-01-31 21:40:22
ERROR,TypeError,2025-01-31 21:40:22
ERROR,: ,2025-01-31 21:40:22
ERROR,return_calendar() missing 1 required positional argument: 'self',2025-01-31 21:40:22
ERROR,"Traceback (most recent call last):
",2025-01-31 21:41:04
ERROR,"  File ""/private/var/folders/zn/g46xcqdd7ls3hf5jkxzzf4n00000gn/T/AppTranslocation/ECA7A1AE-C7CF-46AC-81A6-F8F899ADCF65/d/PyCharm.app/Contents/plugins/python-ce/helpers/pydev/pydevd.py"", line 1570, in _exec
",2025-01-31 21:41:04
ERROR,"pydev_imports.execfile(file, globals, locals)  # execute the script",2025-01-31 21:41:04
ERROR,"  File ""/private/var/folders/zn/g46xcqdd7ls3hf5jkxzzf4n00000gn/T/AppTranslocation/ECA7A1AE-C7CF-46AC-81A6-F8F899ADCF65/d/PyCharm.app/Contents/plugins/python-ce/helpers/pydev/_pydev_imps/_pydev_execfile.py"", line 18, in execfile
",2025-01-31 21:41:04
ERROR,"exec(compile(contents+""\n"", file, 'exec'), glob, loc)",2025-01-31 21:41:04
ERROR,"  File ""/Users/lauris/PycharmProjects/AutomatedTrading/tools/EconomicScrapper/EconomicScrapper.py"", line 197, in <module>
",2025-01-31 21:41:04
ERROR,ec0.return_calendar(),2025-01-31 21:41:04
ERROR,TypeError,2025-01-31 21:41:04
ERROR,: ,2025-01-31 21:41:04
ERROR,return_calendar() missing 1 required positional argument: 'self',2025-01-31 21:41:04
ERROR,"Traceback (most recent call last):
",2025-01-31 21:42:05
ERROR,"  File ""/private/var/folders/zn/g46xcqdd7ls3hf5jkxzzf4n00000gn/T/AppTranslocation/ECA7A1AE-C7CF-46AC-81A6-F8F899ADCF65/d/PyCharm.app/Contents/plugins/python-ce/helpers/pydev/pydevd.py"", line 1570, in _exec
",2025-01-31 21:42:05
ERROR,"pydev_imports.execfile(file, globals, locals)  # execute the script",2025-01-31 21:42:05
ERROR,"  File ""/private/var/folders/zn/g46xcqdd7ls3hf5jkxzzf4n00000gn/T/AppTranslocation/ECA7A1AE-C7CF-46AC-81A6-F8F899ADCF65/d/PyCharm.app/Contents/plugins/python-ce/helpers/pydev/_pydev_imps/_pydev_execfile.py"", line 18, in execfile
",2025-01-31 21:42:05
ERROR,"exec(compile(contents+""\n"", file, 'exec'), glob, loc)",2025-01-31 21:42:05
ERROR,"  File ""/Users/lauris/PycharmProjects/AutomatedTrading/tools/EconomicScrapper/EconomicScrapper.py"", line 197, in <module>
",2025-01-31 21:42:05
ERROR,ec0.return_calendar(),2025-01-31 21:42:05
ERROR,TypeError,2025-01-31 21:42:05
ERROR,: ,2025-01-31 21:42:05
ERROR,return_calendar() missing 1 required positional argument: 'self',2025-01-31 21:42:05
